,us,cns,conf
101,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,sendawelcomepackinaletter)",2 6 ,0.16666666666666666
102,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,sendawelcomepackinaletter)(2,3,1,sendawelcomepackinaletter,1,sendabankcardinaletter)",2 8 ,0.25
103,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,sendawelcomepackinaletter)(2,3,1,sendawelcomepackinaletter,1,sendabankcardinaletter)",2 8 7 ,0.25
104,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,sendawelcomepackinaletter)",2 6 7 ,0.16666666666666666
105,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,sendawelcomepackinaletter)(2,3,1,sendawelcomepackinaletter,1,sendapinnumberinaletter)",2 6 8 ,0.25
106,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,sendawelcomepackinaletter)",2 7 ,0.16666666666666666
107,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,sendawelcomepackinaletter)(2,3,1,sendawelcomepackinaletter,1,sendapinnumberinaletter)",2 8 ,0.25
108,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)",4 ,0.3262411347517731
109,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)",5 ,0.08208955223880597
110,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)",8 ,0.11612903225806452
111,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)",8 6 ,0.11612903225806452
112,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)",8 6 7 ,0.11612903225806452
113,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendawelcomepackinaletter)",8 7 ,0.11612903225806452
114,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)",5 6 ,0.06902985074626866
115,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)",5 8 ,0.12162162162162163
116,"(0,1,1,onlineapplicationreceived,1,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,createanewbankaccount)(2,3,1,createanewbankaccount,1,sendabankcardinaletter)",5 8 7 ,0.12162162162162163
